Date,News_header,Para
"October  1, 2019",NASA's InSight 'Hears' Peculiar Sounds on Mars,"Listen to the marsquakes and other, less-expected sounds that the Mars lander has been detecting."
"September 23, 2019",NASA Mars Mission Connects With Bosnian and Herzegovinian Town,"A letter from NASA was presented to the mayor of Jezero, Bosnia-Herzegovina, honoring the connection between the town and Jezero Crater, the Mars 2020 rover landing site."
"September 18, 2019",Deadline Closing for Names to Fly on NASA's Next Mars Rover,You have until Sept. 30 to send your names to Mars aboard the Mars 2020 rover. 
"September 16, 2019",NASA Wins Two Emmy Awards for Interactive Mission Coverage,"NASA-JPL's coverage of the Mars InSight landing earns one of the two wins, making this the NASA center's second Emmy."
"September 12, 2019",NASA's Mars 2020 Comes Full Circle,"Aiming to pinpoint the Martian vehicle's center of gravity, engineers took NASA's 2,300-pound Mars 2020 rover for a spin in the clean room at JPL. "
"August 28, 2019",NASA Invites Students to Name Mars 2020 Rover,"Through Nov. 1, K-12 students in the U.S. are encouraged to enter an essay contest to name NASA's next Mars rover."
"August 28, 2019",NASA's Mars Helicopter Attached to Mars 2020 Rover ,The helicopter will be first aircraft to perform flight tests on another planet.
"August 23, 2019","What's Mars Solar Conjunction, and Why Does It Matter?","NASA spacecraft at Mars are going to be on their own for a few weeks when the Sun comes between Mars and Earth, interrupting communications."
"August 23, 2019",Scientists Explore Outback as Testbed for Mars ,Australia provides a great place for NASA's Mars 2020 and the ESA-Roscosmos ExoMars scientists to hone techniques in preparation for searching for signs ancient life on Mars.
"August 22, 2019",NASA-JPL Names 'Rolling Stones Rock' on Mars,NASA's Mars InSight mission honored one of the biggest bands of all time at Pasadena concert.
"August 15, 2019",Robotic Toolkit Added to NASA's Mars 2020 Rover,"The bit carousel, which lies at the heart of the rover's Sample Caching System, is now aboard NASA's newest rover. "
"August 13, 2019",Space Samples Link NASA's Apollo 11 and Mars 2020,"While separated by half a century, NASA's Apollo 11 and Mars 2020 missions share the same historic goal: returning samples to Earth."
"August  9, 2019",Small Satellite Mission of the Year,The first interplanetary CubeSats were recognized by the engineering community with the 2019 Small Satellite Mission of the Year award.
"August  5, 2019",NASA 'Optometrists' Verify Mars 2020 Rover's 20/20 Vision,Mars 2020 rover underwent an eye exam after several cameras were installed on the rover.
"August  5, 2019","New Finds for Mars Rover, Seven Years After Landing","NASA's Curiosity rover is discovering odd rocks halfway into a region called the ""clay-bearing unit."""
"August  3, 2019",MEDLI2 Installation on Mars 2020 Aeroshell Begins,Hardware installed onto NASA's Mars 2020 entry vehicle this week will help to increase the safety of future Mars landings.
"July 26, 2019",NASA's Mars 2020 Rover Does Biceps Curls ,"In this time-lapse video, the robotic arm on NASA's Mars 2020 rover maneuvers its 88-pound (40-kilogram) sensor-laden turret as it moves from a deployed to stowed configuration."
"July 24, 2019",Fueling of NASA's Mars 2020 Rover Power System Begins,"NASA gives the go-ahead to fuel the Mars 2020 rover's Multi-Mission Radioisotope Thermoelectric Generator, which will power rover and help keep it warm while exploring Mars."
